split,detector,metric,mean,sample_sd,minimum,maximum,n_seeds
random_test,stateless,precision,nan,0.0,nan,nan,5
random_test,stateless,recall,0.0,0.0,0.0,0.0,5
random_test,stateless,fpr,0.0,0.0,0.0,0.0,5
random_test,stateful_rule,precision,1.0,0.0,1.0,1.0,5
random_test,stateful_rule,recall,1.0,0.0,1.0,1.0,5
random_test,stateful_rule,fpr,0.0,0.0,0.0,0.0,5
random_test,logistic_regression,precision,1.0,0.0,1.0,1.0,5
random_test,logistic_regression,recall,1.0,0.0,1.0,1.0,5
random_test,logistic_regression,fpr,0.0,0.0,0.0,0.0,5
random_test,lstm,precision,1.0,0.0,1.0,1.0,5
random_test,lstm,recall,1.0,0.0,1.0,1.0,5
random_test,lstm,fpr,0.0,0.0,0.0,0.0,5
heldout_pairs,stateless,precision,nan,0.0,nan,nan,5
heldout_pairs,stateless,recall,0.0,0.0,0.0,0.0,5
heldout_pairs,stateless,fpr,0.0,0.0,0.0,0.0,5
heldout_pairs,stateful_rule,precision,1.0,0.0,1.0,1.0,5
heldout_pairs,stateful_rule,recall,1.0,0.0,1.0,1.0,5
heldout_pairs,stateful_rule,fpr,0.0,0.0,0.0,0.0,5
heldout_pairs,logistic_regression,precision,1.0,0.0,1.0,1.0,5
heldout_pairs,logistic_regression,recall,1.0,0.0,1.0,1.0,5
heldout_pairs,logistic_regression,fpr,0.0,0.0,0.0,0.0,5
heldout_pairs,lstm,precision,1.0,0.0,1.0,1.0,5
heldout_pairs,lstm,recall,0.8774000000000001,0.061735727095418566,0.789,0.954,5
heldout_pairs,lstm,fpr,0.0,0.0,0.0,0.0,5
